Sentence,Firmware,Installation,Performance,Usability,Support
"Ive read some reviews and Ive actually used the damn product, in fact I have it right here with me.",0,0,0,0,0
It decided to quit out on me after about 1yr and a 1/2 after I began to use it.,0,0,0,1,0
Dont buy this product unless youre going to just buy another one a year later anyway.,0,0,0,0,0
But its not worth your money.,0,0,0,0,0
"The connection was pretty cool, but the range was absolutely horrible.",0,0,1,1,0
"I set it up downstairs and the thing reached up to my room on the second floor, but the minute I went outside the door it just all but disappeared.",0,0,1,0,0
I was right on the other side of the wall with my laptop too!,0,0,0,0,0
"My advice, dont waste your money on something thats just going to break on you, buy something worthwhile.",0,0,0,0,0
"Besides, the set up for everything was a pain in the ass, Im used to hooking up computers and such but when I tried this thing it took two hours for the damn connection to come through!",0,1,0,0,0
It also went out at random times),0,0,0,1,0
"Called customer service for help on setting up a secure system, was told Id have to pay as it was past warranty......though we verified my purchase of their product.",0,0,0,0,1
"Tried to set up a secure system myself and tho, fairly tech savvy, I gave up after multiple efforts.",0,1,0,0,0
I got rid of this low quality product.,0,0,0,0,0
I now have a much superior Apple Extreme Airport router.,0,0,0,0,0
Ive bought and installed 3 of these over the past 2 years.,0,0,0,0,0
"The first I bought for my home 2 years ago, the second I ordered and installed for a friend who wanted one like mine, and the third I ordered and installed a week ago for a family member",0,0,0,0,0
The router has issues when used prior to doing the most recent needed firmware updates.,0,0,0,1,0
"All 3 routers, bought at different times over the last 2 years needed to have the updates loaded.",0,0,0,0,0
"Without them, the wireless speeds are slower, connections can be finicky and there is a strange bug these routers suffer from that causes them to have DNS issues (you can read about it on the Cisco-Linksys forums where hundreds of other people have had this issue).After the firmware update however, there is an immediate improvement in speeds and connectivity is not just no longer an issue, but even stronger than ever.",0,0,1,1,0
Where before it seemed like a 50-50 chance if you could even get someone logged into your wireless network.,0,0,0,1,0
"Now after the update, its simple and works every single time.",0,0,1,1,0
Step by step directions on how to do this update can be found on the Linksys website.,0,0,0,0,0
I am very pleased with the Cisco Router I bought from you.,0,0,0,0,0
It was easy to install and has worked great so far.,0,1,1,1,0
The price was excellent as we shopped around before looking at Amazon.,0,0,0,0,0
I think Amazon has great prices on everything we have bought from you!,0,0,0,0,0
I would recommend this to anyone looking to buy a router and looking for a great price!,0,0,0,0,0
Cisco-Linksys WRT160N Wireless-N Broadband Router,0,0,0,0,0
"Thank you,Firecracker",0,0,0,0,0
I bought this planning to flash DD-WRT like so many others have done successfully.,0,0,0,0,0
"When mine arrived, the model number on the back of the unit said v2.",0,0,0,0,0
Only v1 and v3 are supported by DD-WRT,0,0,0,0,0
"Do I tried setting it up with Linksyss firmware to try the router out as is, and I couldnt even get through the browser based setup without it dropping/disconnecting the wireless connection",0,0,0,1,0
So watch out for the version number that you get.,0,0,0,0,0
Theres probably no way of knowing what youre getting until you open the box.,0,0,0,0,0
Im not tech savvy so when I started thinking about a home network I contacted the computer tech who weve come to rely on for work on my computer.,0,0,0,0,0
I had no clue what to look for or buy.,0,0,0,0,0
He suggested wireless because of the size of our home and said anything by Cisco-Linksys he highly recommended.,0,0,0,0,0
"Well, he was right.",0,0,0,0,0
The system is now up and running and working beautifully - thanks to Cisco-Linksys WRT160N Wireless-N Broadband Router,0,0,0,0,0
"Good price, good product!",0,0,0,0,0
I highly recommend it.,0,0,0,0,0
This router was easy to set up and configure to my home network needs.,0,1,0,0,0
"However, after about a year, the router has become unstable and randomly freezes.",0,0,0,1,0
Essentially the entire router would suddenly stop routing connections to the internet for no apparent reason (wired and wireless connections are effected).,0,0,0,1,0
"My computer will still be connected to the router, but I wont be able to access the internet.",0,0,0,1,0
"Further, I cant log into the router itself once its in this state.",0,0,0,1,0
The only solution is to reset the entire router by physically unplugging it,0,0,0,1,0
"This happens randomly which is frustrating when I need a constant, reliable connection.",0,0,0,1,0
Worked okay (but not great) for about a year.,0,0,0,0,0
"Occasionally it would fail to connect and Id have to power cycle the router, but only perhaps once a month or so.",0,0,0,1,0
"It has always had inconsistencies in the speed, particularly when more than one device is accessing at the same time.",0,0,1,0,0
"Sometimes it zips along very quickly, and other times slows to almost dialup speeds (I have a 20 Mbps connection).",0,0,1,0,0
"Its not my ISP, as when the laptop is plugged directly into the wall, I dont have these speed inconsistency issues.",0,0,1,0,0
The last 6 months have been a nightmare.,0,0,0,0,0
I have to unplug it at least once daily when it decides to suddenly stop working.,0,0,0,1,0
Most commonly it decides that my wireless security key is incorrect- although it hasnt changed and my computer and other devices have been set up with the same password since I got this router.,0,0,0,1,0
"It must be power cycled (unplugged, let sit for ten seconds, then plugged back in) before it will recognize the security key again.",0,0,0,1,0
"I tried entirely resetting it and then setting up again with the same key, with no change.",0,0,0,1,0
"As this is the second Linksys wireless router I have had substantial reliability issues with, I wont be buying another of their products.",0,0,0,0,0
Linksys execs should be put in jail for fraud.,0,0,0,0,0
"They have been providing the mass market with a pile of plastic junk that works for awhile, once you get it configured, by yourself, because the included software never works, but will very quickly fail.",0,1,0,1,0
"I know they have plied us with cheap plastic, wired and wireless routers because I have a pile of them in the basement.",0,0,0,0,0
Customer support does not want to help you and tech support hopes that someone smarter than them will post it on the community support pages.,0,0,0,0,1
"That is a pretty good deal for the corporation; market $50 - $100 crap, hope it lasts through the warranty and pray any issues get supported and fixed by YOUR customers on the community support pages.",0,0,0,0,1
I have had the Linksys WRT160Nv3 for almost two years.,0,0,0,0,0
The warranty ended recenty and so did the linksys wrt160nv3(ciso) it first started having connection problem( dropping the movie stations) when I called customer services I was told that the router was out of warranty and that I should buy another because this one could not be repaired.,0,0,0,1,0
I became very upset that I had been used and said things about being cheated.,0,0,0,0,0
But since my call to customer service now the router will not work at all.,0,0,0,0,0
THATS VERY ODD.,0,0,0,0,0
Lo mejor de este router es su precio ... y nada que envidiar a otros en le mismo rango ... super faceil de instalar ... y su conectividad es perfecta ... altamente recomendable,0,0,0,0,0
I really enjoy the Cisco-Linksys WRT160N Wireless-N Broadband Router.,0,0,0,0,0
It allows my family and I to move throughout our home without having to be connected to a main hub and ethernet cords.,0,0,0,0,0
"Also, the delivery of the router from misskrs777 was very prompt.",0,0,0,0,0
The only issue I had was with setting the router up with the cd,0,1,0,0,0
Thankfully a friend of mine was able to set everything up for me and the router has worked fine ever since.,0,0,0,0,0
I was extremely terrified about purchasing this router after reading about all the negative comments.,0,0,0,0,0
But I must say it was a breeze to setup the WRT160N Version 3 it took me less than 5 minutes.,0,1,0,0,0
I also upgrade the unit to the latest firmware.,0,0,0,0,0
"[...]Here is a tip for you guys, if you want to manual configure your WRT160N without use the damn CD.1.",0,0,0,0,0
Plug in your router to the power.2.,0,0,0,0,0
Press the reset button for 30 seconds.3.,0,0,0,0,0
Unplug the power and wait 10 seconds and plug the power back into the WRT160N4.,0,0,0,0,0
Connect a RJ45 cable to the one of the 4 slots at the back of the WRT160N and connect the other end of the RJ45 to your computer or laptop.5.,0,0,0,0,0
Open your favorite browser.6.,0,0,0,0,0
Enter 192.168.1.1 into the web browser7.,0,0,0,0,0
Leave Username Blank; enter admin (without the quotes) into password.8.,0,0,0,0,0
"First thing you want to do is go to Wireless Tab, select Manual9.",0,0,0,0,0
Change the SSID to whatever you want.10.,0,0,0,0,0
I usually change the channel to 11 (this is optional)12.,0,0,0,0,0
"Right under the Wireless Tab, you will see Wireless Security, change security mode to WPA2 personal13.",0,0,0,0,0
enter a passphrase.,0,0,0,0,0
This will be your new password when you try to access your WRT160N.,0,0,0,0,0
"It is highly recommended to use characters like these in your passphrase ( !,@,#,$,%,^ and etc) example !swis$cheese2011&These will make your password nearly impossible to hack using China base wireless hacking software.",0,0,0,0,0
I was in China and a friend showed me how easy it was to hack peoples passwords,0,0,0,0,0
Cheers!,0,0,0,0,0
The linksys device is a very good device.,0,0,0,0,0
I like the security feathers on my device and my network.,1,0,0,1,0
One of the feather I like is the network magic.,1,0,0,1,0
It makes you see who are the intruders on your network and when they have connected to your network.,1,0,0,1,0
You can remove the and block from connecting to your network again.,1,0,0,1,0
Another feather is the test your speed system.,1,0,0,1,0
Which help you test your upload and down speeds.,1,0,0,1,0
Also you can test the speed in your area too.,0,0,0,1,0
The linksys makes it so easy to monitor your network anytime.,0,0,0,1,0
it is easy to install and setup.,0,1,0,1,0
What a pain.,0,0,0,0,0
"while easy to set up, it constantly refuses to recognize our wireless devices and causes endless problems.",0,1,0,1,0
i pull it offline many times to connect directly to DSL modem because it fails so frequently.,0,0,0,1,0
im a cisco shareholder but this is one product i hope they deep 6.,0,0,0,0,0
"I have one major problem with this item, it has to be reset at least 3 times per day.",0,0,0,1,0
"If I hadnt waited so long to connect the router, it would have been returned to amazon",0,1,0,0,0
I have had great luck with all my other linksys items.,0,0,0,0,0
This one is a lemon.,0,0,0,0,0
"This router worked fine for about the first yr that I had it then out of nowhere it started dropping signal or the signal would go from 54 mbps to 11 mbps to 1 mbps, so I would power cycle the router & it would be fine for maybe 10 hrs for it to only do it again.",0,0,0,1,0
Then I would power cycle the router & then I might not have any probs.,0,0,0,0,0
for a couple days then out of nowhere it would do it again & then I would have to power cycle the router several times in one day & then once again no probs for several days to maybe 2 wks to only have it do it again.,0,0,0,1,0
Then recently it is doing it again to where I am having to power cycle it almost every hour & sometimes it wouldnt even come back on.,0,0,0,1,0
I previously had a Belkin G router that lasted 5 yrs before it ever did this & cost 1/4th the priced of this router.,0,0,0,0,0
"This made playing PS3, using Netflix, or even using apps on FB nearly impossible.",0,0,0,0,0
"Now if I power cycle the router, it automatically only goes to 1 mbps & even my desktop which is hardwired has issues even though it says I am connected at 100 mpbs(I know this is not the true speed, but still getting about equal to dial up).",0,0,1,1,0
"I have tried updating the software & recalling the software, changing the channels, & everything else that I have seen posted online and nothing has worked.",0,0,1,1,0
I would suggest not getting this router unless you plan on buying a new one not long after you purchase this one.,0,0,0,0,0
I got this right when it came out.,0,0,0,0,0
"I was so happy to be getting an N router, but was quickly disappointed when I discovered that despite it being an N router, it was not as good as my previous G+ router for streaming and gaming.",0,0,0,0,0
"If you want to get a router that works really well, get the WRT-400N instead.",0,0,0,0,0
That router is exactly what I hoped this router would have been.,0,0,0,0,0
"The 160N will really frustrate you, if you want to do more than simple Web searches.",0,0,0,0,0
First off I bought it because of the good reviews.,0,0,0,0,0
I have an older model yeah we all know which Linksys Im talking about.,0,0,0,0,0
"Anyway, mine came in earlier than stated",0,0,0,0,0
"On with the router, well...I havent been able to even use it yet.",0,0,0,1,0
It says just pop in the disc and follow the on screen instructions.,0,1,0,0,0
"Well I did that, but I cannot pass the 4th step after set up.",0,1,0,0,0
For me I keep getting an error.,0,1,0,0,0
"I tried everything of my knowledge to try get it to work, but the error still keeps popping up so I cant use this router...I am using it on a Windows Vista computer too, a Studio 15.5 from dell",0,1,0,1,0
If anyone knows about this problem please let me know how to fix it...Since I cant use the router...my review is this so far...hopefully I can figure out whats going on to give a full review of my experience when its working...,0,1,0,0,0
In one year I went through:1.Belkin.,0,0,0,0,0
It broke.2.Bought another $50 Belkin to replace the Belkin.,0,0,0,0,0
"It also broke, sent in for a replacement.3.Bought a Linksys.",0,0,0,0,0
Also broke.,0,0,0,0,0
"Used the belkin replacement I had.4.Belkin didnt work out of box, even though it was BRAND NEW.5.Decided not to send anything for 1-year warranty replacement, hammered them down in my kitchen in frustration.6.Told my problems to a best buy seller who told me to buy another linksys and if it failed to install dd-wrt firmware and it would keep it going for the next 3 or 4 years until it broke down naturally.",0,0,0,0,0
I gave in and bought my second linksys.,0,0,0,0,0
Not to my surprise it started dropping connections within 2 months.,0,0,0,1,0
Had to be restarted multiple timees daily.,0,0,0,1,0
"So I flashed it with the free firmware from dd-wrt, and its suddenly been working for one year now",0,0,0,1,0
in one year I went through 3 belkins.,0,0,0,0,0
2 Linksys.,0,0,0,0,0
Thank god for dd-wrt.,0,0,0,0,0
If this one fails on me Im going for the aiport extreme so that I can connect an external harddrive and make back-ups,0,0,0,0,0
"My question is: if a software upgrade can fix the problem, as dd-wrt did, why are these companies not doing so?",0,0,0,0,0
Why are they putting out products that are meant to fail?,0,0,0,0,0
There should be a class law suit against these people.,0,0,0,0,0
Had a real headache to set it up but after it was installed it works just fine.,0,1,0,1,0
I think the instructions could have been written better.,0,1,0,0,1
"I have a macbook pro, and I just ignored the set up disc because I had read Terrell Smiths review saying it would not work for a mac anyway.",0,0,0,0,0
His review was helpful and easy to follow so set up was easy.,0,0,0,0,0
Directions for mac should be included in box because it does work w/a mac.,0,0,0,0,0
The range is good and so far the router has had no problems.,0,0,1,1,0
Was having problems with my prior router: It would not consistently reach rooms on the other side of the house.,0,0,0,0,0
I constantly had to reboot my laptop because the networking driver would get garbled.,0,0,0,0,0
The new router solves all of these problems.,0,0,0,0,0
Have been running it now for over a months - and have not had one issue with it!,0,0,0,0,0
When I first purchased my first wireless network it was made from Linksys.,0,0,0,0,0
About month later it stopped working so I purchased this model and it worked fine.,0,0,0,1,0
I moved and reconnected it in my new place and all hell broke loose.,0,0,0,0,0
The router would not allow all the same computers I had at the old place connect to it.,0,0,0,1,0
So I called Linksys for tech support and they wanted to charge me $49.99 for tech support.,0,0,0,0,1
Why pay that and thats what I paid for the router.,0,0,0,0,0
"So I purchased a new one same model and all, and same problem.",0,0,0,0,0
So I called tech support to help with the new unit for free.,0,0,0,0,0
And they had me go into the router through the IP address of the router via my internet browser.,0,0,0,0,0
"Once in we set it up 1,2,3.",0,0,0,0,0
So I pulled my old model out the closet and done the same thing and it worked too.,0,0,0,1,0
And the other one did as well.,0,0,0,1,0
I have an issue with a product shutting down just to get customers to pay for tech support and you can include all of this in the manual.,0,0,0,0,1
This product works good and its interface was easy to use but it did not extend my range within the house that I was looking for.,1,0,1,1,0
I have a large house so the upstairs receives hardly any signal at all.,0,0,1,0,0
I increased my service to gain better speed and added this to extend the range but this did not better the upstairs signal much at all.,0,0,1,0,0
We purchased this router only a couple months ago and it is already not working.,0,0,0,1,0
It wont register there is an internet cable plugged into the port.,0,0,0,1,0
"I tried reseting it, changed ports everything and it still wont work.",0,0,0,1,0
I didnt expect it to last forever but I didnt expect it to go out in a couple months either.,0,0,0,0,0
Before considering this purchase I highly recommend you go to Google and put these words in as a search: WRT160N V3 has serious DNS issues,0,0,0,0,0
"Once you get to Ciscos own forum, you can see just how bad this router is",0,0,0,0,0
I had to replace mine (with no money back from Cisco--they didnt ever respond to the hundreds of requests for help in their own forums) and left Cisco to get a D-LINK.,0,0,0,0,0
Happy with it,0,0,0,0,0
I was a long time Cisco customer before,0,0,0,0,0
"The issue was that it would sporadically redirect anyone on the network from Facebook, for example, to some other site, like a MySpace page or somewhere else (once I got redirected to a gay bed and breakfast website",0,0,0,1,0
The only way to fix it is to power off the router.,0,0,0,0,0
Its very frustrating.,0,0,0,0,0
Who knows what kind of a security leak that thing has.,0,0,0,0,0
Some of the included software wouldnt load.,1,0,0,0,0
Dont know if it an OS conflict (WIN7) or not,0,0,0,0,0
Easy to set up and the range is excellent,0,1,1,1,0
I like it.,0,0,0,0,0
I was told that all I had to do was unplug my modem and plug in the router.,0,0,0,0,0
Its not quite that easy.,0,0,0,1,0
"After having my daughter in law talk me through plugging it into the computer and modem (I had to keep the modem), it still did not work.",0,0,0,1,0
I then called the products customer service and even that lady was on the phone for an hour with me sorting out why it would not work.,0,0,0,0,1
Had to change a setting on this computer which was an odd one.,0,0,0,0,0
"Since then, however its been a dream.",0,0,0,0,0
I wanted to be able to upload books to my  Kindle without going to our local library to use their wifi.,0,0,0,0,0
Its wonderful to sit in my own living room and buy books.,0,0,0,0,0
Id recommend it to anyone thinking of going wifi.,0,0,0,0,0
THIS ROUTER SUCKS A FAT ONE!,0,0,0,0,0
"I have 20MBPS service, and it often slows down to 1mbps, and when I say often I mean all the time.",0,0,1,0,0
"I try to reset it, call custo service, but no avail.",0,0,0,0,1
This router is absolute garbage.,0,0,0,0,0
Id rather give my 50 bucks to someone to kick me in the junk and get the pain overwith rather than the slow frustration that this thing causes me.,0,0,0,1,0
I want to kill it office space style.,0,0,0,0,0
probably going for a dlink.,0,0,0,0,0
This product work is one of the worst Ive bought.,0,0,0,0,0
"I own it, I paid a crapload and all it did was make me hate Linksys like I hate HP.",0,0,0,0,0
How many times have I reset my server or reconnected my connection?,0,0,0,1,0
Countless.,0,0,0,0,0
"Meaning, buy this but know it is a living pain in the ass especially if you want to download anything that is a sizable download as you WILL 100 percent lose your connection and thus the box of this product should simply read bonus: will cause you subtle stress, enjoy!.",0,0,1,1,0
I dont stress about it anymore.,0,0,0,0,0
I simply accept it but its like accepting that you have Herpes or a wife that loathes you.,0,0,0,0,0
It just is what it is.,0,0,0,0,0
Thank you Linksys for creating a truly crappy product and if you worked on this product as a designer all I can say is your a truly untalented and stupid person whose work did nothing but make many other people unhappy.,0,0,0,0,0
You probably should have simply trafficked in human slavery or drugs and would have at least made more money but produced the same human misery,0,0,0,0,0
"To make my point, in the time it took to write this review my linksys stopped working.",0,0,0,1,0
I purchased this router to replace an older Linksys router that mysteriously started resetting itself to defaults for no reason.,0,0,0,0,0
"So far, this router has been perfectly reliable",0,0,0,1,0
"I am tech-savvy, but a fairly light-weight user.",0,0,0,0,0
Since the initial install I havent been back into the config for much of anything.,0,1,0,1,0
It just works.,0,0,0,0,0
"I dont have to power cycle it for no reason, and I havent had to update its firmware in some futile attempt to fix one glitch or another.",0,0,0,0,0
It just sits there and works.,0,0,0,0,0
Like it should,0,0,0,0,0
"The range is good enough that my outdoor WiFi security camera works well, and the speed is good enough for streaming HD video",0,0,1,0,0
And it doesnt look half bad.,0,0,0,0,0
I have owned this router (version 1) for about a 1-1/2 years now.,0,0,0,0,0
"When I first purchased it a year ago, the firmware was pretty lousy.",1,0,0,0,0
It seemed like it constantly had to be reset otherwise it would get really slow.,0,0,1,1,0
I stopped using it for a while when I had switched to DSL and ended up using a 2wire gateway instead,0,0,0,0,0
I have recently switched back to cable internet and am now using this router again in conjunction with a Motorola Surfboard SB6120.,0,0,0,0,0
I put DD-WRT firmware on it to try it out but then ended up using the newest Linksys firmware update instead.,0,0,0,0,0
"I must say, I saw no improvement with the DD-WRT firmware over the latest Linksys firmware.",1,0,0,0,0
"So far with the newest Linksys firmware its been stable, range seems better, it hasnt had to be reset, and works great with the new Motorola cable modem.",0,0,1,1,0
"I use it with two laptops, and an Xbox 360 hardwired to it.",0,0,0,0,0
"Works great with the Xbox, set up port forwarding, and have not had any NAT issues.",0,0,0,0,0
After I read the reviews.,0,0,0,0,0
I thought I was making a mistake buying this.,0,0,0,0,0
But I got it and it works amazingly!,0,0,0,0,0
Highly recommended,0,0,0,0,0
This is for those who had bad experience.,0,0,0,0,0
Remember this is an electronic.,0,0,0,0,0
They have a high fail rate no matter who makes it.,0,0,0,0,0
You can get 10000 good ones in a row and have 1 bad one.,0,0,0,0,0
LOVE THIS PRODUCT.,0,0,0,0,0
Worth every penny.,0,0,0,0,0
I have game systems and multiple laptops and absolutely no issue.,0,0,0,0,0
Installation was a breeze and Im very pleased with this purchase.,0,1,0,0,0
Id recommend it to anyone with a home network or small office in need of a compact yet powerful router,0,0,1,0,0
My only issue with it is that the frequency throws off my Nintendo 64 game system.,0,0,0,0,0
I have to keep it 2 ft away for it to play.,0,0,0,0,0
"For those with older game systems, keep them away from your routers if you want them to play!",0,0,0,0,0
I will never throw away my money on Linksys again.,0,0,0,0,0
Overpriced with marginal signal range.,0,0,1,0,0
Every router I have owned from Linksys magically quits working one year after the warranty expires.,0,0,0,0,0
In order to get it working again you have to call their customer service department whcih charges you $40 to walk you through the set up again.,0,0,0,0,1
"Even though their CS is efficient in getting your router back up and running, it will not only cost you money, it will cost you time because you will be on the phone for hours, these people are like monkeys on drugs or foreign robots!",0,0,0,0,1
Yes Comcast is overpriced but they were able to supply me with a router with better range and faster speeds for $10.,0,0,0,0,0
Plus they offer free support on the router for as long as I have my internet through them.,0,0,0,0,1
My last Linksys router made it to the garbage but not before I beat the living $^*#%^& out of it with a hammer!,0,0,0,0,0
If I could give this ZERO stars I would but I guess the lowest you can go is ONE star.,0,0,0,0,0
"The router was easy to set up; most of the time give adequate signal, but some time give very low signal.",0,1,1,0,0
Also there is the parental control work well need to re-adjust otherwise block lots email from coming in,0,0,0,0,0
Newman,0,0,0,0,0
"Got this router,looks nice,but unreliable,sometimes when i want to connect to facebook it takes me to myspace,and its a big problem with this router you can check on the linksys forum.",0,0,0,1,0
"Sometimes it would put out a signal but i still can connect to it,another problem you can see all over the internet.",0,0,0,1,0
"In short,when it works,works great,when it doesnt sucks real bad,so im looking for a new router and i bought this in novemeber of 2010 thanx linksys for no firmware update and just selling shottie products",0,0,0,0,0
"Although Cisco deleted my posts on their board, I had TWO of these die after 9 months",0,0,0,0,0
March 2010 = Purchased new (from Amazon)July 2010 = Started having wireless radio issues (long time to connect on 2010 Lenovo ThinkPad and late-2009 Acer Aspire - both with Windows 7 Professional); forced reconnect; cleared firmware settings; reinstalled firmware twiceAugust 2010 = Started dropping BlackBerry and iPod Touch / iPhone clientsNovember 2010 = Installed updated firmwareJanuary 2011 = opened case with technical support.,0,0,0,0,0
No help,0,0,0,0,1
February 2011 = gave up.,0,0,0,0,0
Will not purchase from Cisco China Goods ever again.,0,0,0,0,0
"If you are looking for a router whose wireless rarely works, pre-sets parental controls making the internet nearly unusable and then requires you to register with linksys to change, randomly diverts you to other pages (type in facebook, sends you to myspace), is extraordinarily slow even when hardwired, charges you for customer support, and needs to be rebooted once per day in order to function, then this is the router for you.",0,0,0,1,0
"Avoid the pain, annoyance, frustration, and lack of function.",0,0,0,0,0
I cannot recommend this router to anyone.,0,0,0,0,0
"The included software, which is useless, doesnt work.",1,0,0,0,0
"At random times, it just shuts down, or stops broadcasting a connection.",0,0,0,1,0
"I get constant error messages, such as 404 - Not Found, or DNS errors, and Ive tried everything Ive found to try and fix it.",0,0,0,1,0
Linksys Support is absolutely no help.,0,0,0,0,1
Their representatives know absolutely nothing and put you on hold for extreme amounts of time,0,0,0,0,1
Overall Im simply not a happy user.,0,0,0,0,0
"sets up easy with modem and wireless laptop, but a real pain to set up with ipod and kindle.",0,1,0,0,0
instructions are poor and the shareware is only good for a 10 day trial,0,1,0,0,1
This router simply cannot handle a Mac and a PC connected simultaneously.,0,0,0,0,0
Ive flashed the firmware I dont know how many times.,0,0,0,0,0
The thing simply craps out.,0,0,0,0,0
"And if it doesnt, network speed is ATROCIOUS.",0,0,1,1,0
I think quite a few people had this problem (I have v3).,0,0,0,0,0
"It worked a bit better when computers of the same operating system were connected, but it would still crash occasionally.",0,0,0,1,0
I tried to contact customer support and they were utterly useless.,0,0,0,0,1
Made me send my model number three times and gave me canned responses.,0,0,0,0,1
DO NOT BUY THIS.,0,0,0,0,0
I hear DLinks are better for cross-OS connection.,0,0,0,0,0
"Apple routers (in my experience) have been pretty stable also, but you Windoze fanboys might not like to hear that.",0,0,0,0,0
"Like others, Ive had many problems with the router.",0,0,0,0,0
"I was hoping that going to DD-WRT would make things better (I wasnt afraid to dabble in that), but unfortunately it just lead to more headaches.",0,0,0,0,0
"Ive decided to ditch this router and go with something newer ... looks like there are N-routers that are just as cheap, and hopefuly they wont be as problematic.",0,0,0,0,0
Purchased the WRT160N V3 and installed at my in-laws house.,0,0,0,0,0
Unfortunately by the time we really used that much it was almost out of warranty.,0,0,0,0,0
Immediately upon using this router we started having Invalid URL problems on our wireless laptop and computer.,0,0,0,1,0
I  called Linksys while it was still covered under warranty and  complained of invalid URLs.,0,0,0,0,1
"They pointed the blame to the router, my new computer, etc., until the router was out of warranty.",0,0,0,0,1
"The invalid URLs were so bad ~ I couldnt use the web, mail, the laptop, or main computer ..",0,0,0,1,0
I finally had to connect the computer directly into the modem and threw away this horrible router.,0,0,0,0,0
I finally did some research and found that Invalid URLs plague this router.,0,0,0,0,0
